Timestamp,Alloc-bytes,Copied-bytes,Live-bytes,GC-user,GC-elap,TOT-user,TOT-elap,Page,Flts,Gen
3043635,472608,31976,315120,0.000,0.000,0.002,0.003,0,0,0
3725239,450336,57360,590064,0.000,0.000,0.002,0.004,0,0,0
4719930,451776,85920,856928,0.001,0.001,0.003,0.005,0,0,1
5294542,451008,54952,1118240,0.000,0.000,0.004,0.005,0,0,0
5904118,451296,54088,1379072,0.000,0.000,0.004,0.006,0,0,0
6494132,452448,53728,1636856,0.000,0.000,0.004,0.006,0,0,0
7910006,455416,191072,1893472,0.001,0.001,0.005,0.008,0,0,1
8598943,454376,52776,2148176,0.000,0.000,0.006,0.009,0,0,0
9380641,454224,52464,2398784,0.000,0.000,0.006,0.009,0,0,0
10061488,452592,52432,2652920,0.000,0.000,0.007,0.010,0,0,0
10725840,455616,52672,2906696,0.000,0.000,0.007,0.011,0,0,0
11320744,454848,52104,3157184,0.000,0.000,0.008,0.011,0,0,0
11933980,457240,51096,3406840,0.000,0.000,0.008,0.012,0,0,0
12540956,455384,51208,3651104,0.000,0.000,0.009,0.013,0,0,0
14839125,454032,396720,3901712,0.002,0.002,0.011,0.015,0,0,1
15333139,454464,51520,4148552,0.000,0.000,0.011,0.015,0,0,0
15921380,458112,51072,4395392,0.000,0.000,0.011,0.016,0,0,0
16576786,456432,50944,4638944,0.000,0.000,0.012,0.017,0,0,0
17188098,456720,50680,4879088,0.000,0.000,0.012,0.017,0,0,0
17797424,453312,50992,5129336,0.000,0.000,0.013,0.018,0,0,0
18434266,456480,51328,5376296,0.000,0.000,0.013,0.018,0,0,0
19432230,457728,51360,5623256,0.000,0.001,0.014,0.019,0,0,0
20160317,456768,50856,5866688,0.000,0.000,0.014,0.020,0,0,0
20819234,456384,50416,6106832,0.000,0.000,0.015,0.021,0,0,0
21472661,458200,49656,6352624,0.000,0.000,0.015,0.021,0,0,0
22118892,459024,49784,6596152,0.000,0.000,0.016,0.022,0,0,0
22776664,456584,50536,6837008,0.000,0.000,0.016,0.023,0,0,0
23944246,459024,49960,7076792,0.001,0.001,0.017,0.024,0,0,0
25579330,456912,49672,7313408,0.001,0.001,0.018,0.026,0,0,0
27250711,455280,50200,7556840,0.001,0.001,0.019,0.027,0,0,0
32263004,456384,794400,7800032,0.004,0.005,0.024,0.032,0,0,1
35652199,456912,50080,8040176,0.001,0.003,0.025,0.036,0,0,0
36716498,457776,49960,8279840,0.000,0.001,0.025,0.037,0,0,0
37422440,457056,49312,8516216,0.000,0.000,0.026,0.037,0,0,0
38014625,457632,49600,8756120,0.000,0.000,0.026,0.038,0,0,0
38715592,457920,49792,8992736,0.000,0.000,0.027,0.039,0,0,0
39422874,457728,49528,9229112,0.000,0.000,0.027,0.039,0,0,0
40260769,459696,49000,9465248,0.000,0.001,0.028,0.040,0,0,0
41069859,458880,48640,9698096,0.000,0.001,0.028,0.041,0,0,0
41828486,458056,49136,9944176,0.000,0.000,0.029,0.042,0,0,0
42556033,456104,50776,10185200,0.000,0.000,0.030,0.043,0,0,0
43378408,458920,49776,10427848,0.000,0.001,0.030,0.043,0,0,0
44199357,459608,50088,10668296,0.000,0.000,0.031,0.044,0,0,0
44985308,458544,49464,10904672,0.000,0.001,0.031,0.045,0,0,0
45783326,456816,49672,11144696,0.000,0.001,0.032,0.046,0,0,0
46594461,459896,49832,11384400,0.000,0.001,0.032,0.047,0,0,0
47413318,459976,49480,11620856,0.000,0.001,0.033,0.047,0,0,0
48434246,460840,48816,11856736,0.001,0.001,0.034,0.048,0,0,0
49350315,461856,48536,12089632,0.000,0.001,0.034,0.049,0,0,0
50147904,456920,49432,12330224,0.000,0.000,0.035,0.050,0,0,0
50932956,459552,49864,12569888,0.000,0.001,0.036,0.051,0,0,0
51773447,458400,49360,12806264,0.000,0.001,0.036,0.052,0,0,0
52617258,460744,48416,13041808,0.000,0.001,0.037,0.053,0,0,0
55366502,460088,48816,13272200,0.001,0.002,0.039,0.055,0,0,0
57683068,459880,48768,13511704,0.001,0.001,0.040,0.058,0,0,0
59713876,457880,49144,13744712,0.001,0.001,0.042,0.060,0,0,0
61325987,460800,48528,13977560,0.001,0.001,0.043,0.061,0,0,0
62279390,459552,48400,14207120,0.001,0.001,0.044,0.062,0,0,0
63276194,459840,47800,14436200,0.001,0.001,0.044,0.063,0,0,0
64304491,459936,48648,14676104,0.001,0.001,0.045,0.064,0,0,0
65347386,459928,49184,14915128,0.001,0.001,0.046,0.065,0,0,0
66309146,459752,49512,15152384,0.001,0.001,0.047,0.066,0,0,0
67236621,461032,48984,15388504,0.001,0.001,0.047,0.067,0,0,0
77277989,458360,1592528,15621608,0.009,0.010,0.056,0.077,0,0,1
78276041,460272,48792,15857984,0.001,0.001,0.057,0.078,0,0,0
79139674,458016,49120,16091072,0.001,0.001,0.058,0.079,0,0,0
80231737,460128,48472,16323680,0.001,0.001,0.058,0.080,0,0,0
81097452,460992,48328,16556528,0.001,0.001,0.059,0.081,0,0,0
85285651,460176,48208,16785848,0.001,0.001,0.060,0.085,0,0,0
86354448,460128,48216,17018696,0.001,0.001,0.061,0.086,0,0,0
89297295,460792,48344,17254432,0.002,0.002,0.063,0.089,0,0,0
91974064,459752,48760,17484632,0.001,0.002,0.065,0.092,0,0,0
94590955,458688,48448,17717480,0.002,0.002,0.067,0.095,0,0,0
95983925,458688,48184,17946680,0.001,0.001,0.068,0.096,0,0,0
97003344,458592,47512,18175880,0.001,0.001,0.069,0.097,0,0,0
97988752,459264,47928,18405440,0.001,0.001,0.070,0.098,0,0,0
98865221,459840,47872,18634640,0.001,0.001,0.070,0.099,0,0,0
99724771,461376,47560,18863840,0.001,0.001,0.071,0.100,0,0,0
100593184,459888,47416,19089632,0.001,0.001,0.072,0.101,0,0,0
101620856,461136,47056,19312136,0.001,0.001,0.073,0.102,0,0,0
102945711,458112,48664,19555328,0.001,0.001,0.074,0.103,0,0,0
105939047,457728,49816,19791944,0.002,0.002,0.076,0.106,0,0,0
107012881,457056,49360,20028200,0.001,0.001,0.077,0.107,0,0,0
107978753,460320,48952,20264456,0.001,0.001,0.077,0.108,0,0,0
108968580,458832,48648,20494016,0.001,0.001,0.078,0.109,0,0,0
109872264,459784,48048,20732848,0.001,0.001,0.079,0.110,0,0,0
111058118,458408,49152,20966528,0.001,0.001,0.080,0.111,0,0,0
112098104,460944,48520,21199376,0.001,0.001,0.080,0.112,0,0,0
113179231,459312,48408,21428936,0.001,0.001,0.081,0.113,0,0,0
114208844,459504,47752,21658016,0.001,0.001,0.082,0.114,0,0,0
115203999,460984,47832,21893944,0.001,0.001,0.083,0.115,0,0,0
116231760,457928,49152,22127360,0.001,0.001,0.084,0.116,0,0,0
117220412,460752,48568,22360088,0.001,0.001,0.084,0.117,0,0,0
118216444,461512,47616,22592104,0.001,0.001,0.085,0.118,0,0,0
119168487,461144,48168,22822256,0.001,0.001,0.086,0.119,0,0,0
120140452,459120,47968,23051696,0.001,0.001,0.087,0.120,0,0,0
121085967,461800,47232,23283400,0.001,0.001,0.087,0.121,0,0,0
122028782,460040,47736,23510216,0.001,0.001,0.088,0.122,0,0,0
122995410,460896,47592,23739536,0.001,0.001,0.089,0.123,0,0,0
124675090,462336,47640,23965328,0.001,0.001,0.090,0.125,0,0,0
126394084,462712,47392,24194592,0.001,0.001,0.092,0.126,0,0,0
127692749,460952,48520,24431024,0.001,0.001,0.093,0.128,0,0,0
128840418,459072,48792,24663872,0.001,0.001,0.094,0.129,0,0,0
